Data Quality Assurance and Flagging,,,,,
,,,,,
THIS IS FOR ASFS30,,,,,
,,,,,
Instrument / measurement,"date, time start","date, time end",Flag,Reason,Who
"[i.e., temp_2m]",[YYYYMMDD hhmmss],[YYYYMMDD hhmmss],"[1,2,3,4]",[details for determination],[last name]
 subsurface_heat_flux_B,20200415 000000,20201001 000000,1,"we have concerns about uncertainties in the second half of mosaic - solar heating, contact issues, frequent melt out, level, etc",ccox
dew_point,20191112 110900,20191112 124300,1,"Odd behavior in RH sensor at power on: Plausibly, when the tower was powered back on after being off, the (heated) RH sensor needed to warm and equillibrate. It seems this equillibration period is 15-30 min and has a characteristic shape: when the tower turns on the RH starts very low, increases very high then falls back to the accurate value. Instead of automating a screening procedure I just mannually screened the RH data.",ccox
dew_point,20191130 111500,20191130 152500,1,"Odd behavior in RH sensor at power on: Plausibly, when the tower was powered back on after being off, the (heated) RH sensor needed to warm and equillibrate. It seems this equillibration period is 15-30 min and has a characteristic shape: when the tower turns on the RH starts very low, increases very high then falls back to the accurate value. Instead of automating a screening procedure I just mannually screened the RH data.",ccox
subsurface_heat_flux_B,20200630 155000,20201002 235900,1,caution for all flux plates after re-install during Leg 4,shupe
rh,20200706 060000,20200706 101500,1,spike to unreasonably high values,shupe
dew_point,20200304 103100,20200304 104800,1,"Odd behavior in RH sensor at power on: Plausibly, when the tower was powered back on after being off, the (heated) RH sensor needed to warm and equillibrate. It seems this equillibration period is 15-30 min and has a characteristic shape: when the tower turns on the RH starts very low, increases very high then falls back to the accurate value. Instead of automating a screening procedure I just mannually screened the RH data.",ccox
down_short_hemisp,20200910 133000,20200911 042000,1,difficult to diagnose this situation. Appears to be affected by icing on domes but not sure,shupe
dew_point,20200317 125100,20200317 132300,1,"Odd behavior in RH sensor at power on: Plausibly, when the tower was powered back on after being off, the (heated) RH sensor needed to warm and equillibrate. It seems this equillibration period is 15-30 min and has a characteristic shape: when the tower turns on the RH starts very low, increases very high then falls back to the accurate value. Instead of automating a screening procedure I just mannually screened the RH data.",ccox
dew_point,20200330 090000,20200330 093600,1,"Odd behavior in RH sensor at power on: Plausibly, when the tower was powered back on after being off, the (heated) RH sensor needed to warm and equillibrate. It seems this equillibration period is 15-30 min and has a characteristic shape: when the tower turns on the RH starts very low, increases very high then falls back to the accurate value. Instead of automating a screening procedure I just mannually screened the RH data.",ccox
dew_point,20200330 120500,20200331 025500,1,"Odd behavior in RH sensor at power on: Plausibly, when the tower was powered back on after being off, the (heated) RH sensor needed to warm and equillibrate. It seems this equillibration period is 15-30 min and has a characteristic shape: when the tower turns on the RH starts very low, increases very high then falls back to the accurate value. Instead of automating a screening procedure I just mannually screened the RH data.",ccox
dew_point,20191015 000000,20191007 020900,1,"Odd behavior in RH sensor at power on: Plausibly, when the tower was powered back on after being off, the (heated) RH sensor needed to warm and equillibrate. It seems this equillibration period is 15-30 min and has a characteristic shape: when the tower turns on the RH starts very low, increases very high then falls back to the accurate value. Instead of automating a screening procedure I just mannually screened the RH data.",ccox
sr50_dist,20200526 050000,20200802 141800,1,"caution because the sleds were tilting. error is theoretically < 1%, but experience with tower guy line resets suggests errors can be a few cm",ccox
wspd_w_mean,20200831 051600,20200831 052800,1,no idea. was the sled being moved?,ccox
wspd_w_mean,20200911 043000,20200911 043700,1,no idea. was the sled being moved?,ccox
co2_licor,20191017 000000,20200918 050200,1,caution. h2o crosstalk,ccox
wspd_w_mean,20200913 085300,20200913 091100,1,no idea. was the sled being moved?,ccox
rh,20191112 110900,20191112 124300,1,"Odd behavior in RH sensor at power on: Plausibly, when the tower was powered back on after being off, the (heated) RH sensor needed to warm and equillibrate. It seems this equillibration period is 15-30 min and has a characteristic shape: when the tower turns on the RH starts very low, increases very high then falls back to the accurate value. Instead of automating a screening procedure I just mannually screened the RH data.",ccox
rh,20191130 111500,20191130 152500,1,"Odd behavior in RH sensor at power on: Plausibly, when the tower was powered back on after being off, the (heated) RH sensor needed to warm and equillibrate. It seems this equillibration period is 15-30 min and has a characteristic shape: when the tower turns on the RH starts very low, increases very high then falls back to the accurate value. Instead of automating a screening procedure I just mannually screened the RH data.",ccox
rh,20200304 103100,20200306 030000,1,Similar odd behavior as others after power on.  took a long time to adjust,ccox/shupe
rh,20200317 125100,20200320 094000,1,"Odd behavior in RH sensor at power on: Plausibly, when the tower was powered back on after being off, the (heated) RH sensor needed to warm and equillibrate. It seems this equillibration period is 15-30 min and has a characteristic shape: when the tower turns on the RH starts very low, increases very high then falls back to the accurate value. Instead of automating a screening procedure I just mannually screened the RH data.",ccox/shupe
rh,20200729 142000,20200719 154000,1,spike to unreasonably high values,shupe
rh,20200723 023000,20200723 032000,1,spike to unreasonably high values,shupe
rh,20200719 003000,20200719 015500,1,spike to unreasonably high values,shupe
rh,20200708 145500,20200708 162000,1,spike to unreasonably high values,shupe
rh,20200707 001500,20200707 015500,1,spike to unreasonably high values,shupe
rh,20200706 223500,20200706 234000,1,spike to unreasonably high values,shupe
rh,20200706 194500,20200706 210000,1,spike to unreasonably high values,shupe
rh,20200706 142000,20200706 145000,1,spike to unreasonably high values,shupe
rh,20200706 122000,20200706 131000,1,spike to unreasonably high values,shupe
wspd_w_mean,20200928 160400,20200928 170500,1,suspicious,ccox
CO2_flux,20201015 000000,20200919 000000,1,caution. h2o crosstalk,ccox
subsurface_heat_flux_A,20200630 155000,20201002 235900,1,caution for all flux plates after re-install during Leg 4,shupe
wspd_v_mean,20200928 160400,20200928 170500,1,suspicious,ccox
wspd_u_mean,20200831 051600,20200831 052800,1,no idea. was the sled being moved?,ccox
wspd_u_mean,20200911 043000,20200911 043700,1,no idea. was the sled being moved?,ccox
up_short_hemisp,20200910 133000,20200911 042000,1,difficult to diagnose this situation. Appears to be affected by icing on domes but not sure,shupe
 subsurface_heat_flux_A,20200415 000000,20201001 000000,1,"we have concerns about uncertainties in the second half of mosaic - solar heating, contact issues, frequent melt out, level, etc",ccox
wspd_u_mean,20200913 085300,20200913 091100,1,no idea. was the sled being moved?,ccox
wspd_u_mean,20200928 160400,20200928 170500,1,suspicious,ccox
wspd_v_mean,20200831 051600,20200831 052800,1,no idea. was the sled being moved?,ccox
rh,20200330 090000,20200331 104000,1,RH appears to be biased high relative to others,ccox/shupe
wspd_v_mean,20200913 085300,20200913 091100,1,no idea. was the sled being moved?,ccox
brightness_temp_surface,20200904 091200,20200904 111200,1,new installation at pond. impacts from install,shupe
wspd_v_mean,20200911 043000,20200911 043700,1,no idea. was the sled being moved?,ccox
